rate_date,currency,rate_to_usd
2025-10-25,USD,1.0
2025-10-26,EUR,1.0816
2025-10-26,VND,3.93e-05
2025-10-26,USD,1.0
2025-10-27,EUR,1.0813
2025-10-27,VND,3.963e-05
2025-10-27,USD,1.0
2025-10-28,EUR,1.0813
2025-10-28,VND,3.928e-05
2025-10-28,USD,1.0
2025-10-29,EUR,1.0758
2025-10-29,VND,3.908e-05
2025-10-29,USD,1.0
2025-10-30,EUR,1.0816
2025-10-30,VND,3.936e-05
2025-10-30,USD,1.0
2025-10-31,EUR,1.0781
2025-10-31,VND,3.935e-05
2025-10-31,USD,1.0
2025-11-01,EUR,1.0913
2025-11-01,VND,3.949e-05
2025-11-01,USD,1.0
2025-11-02,EUR,1.0809
2025-11-02,VND,3.918e-05
2025-11-02,USD,1.0
2025-11-03,EUR,1.0735
2025-11-03,VND,3.905e-05
2025-11-03,USD,1.0
2025-11-04,EUR,1.0842
2025-11-04,VND,3.924e-05
2025-11-04,USD,1.0
2025-11-05,EUR,1.0891
2025-11-05,VND,3.948e-05
2025-11-05,USD,1.0
2025-11-06,EUR,1.0738
2025-11-06,VND,3.922e-05
2025-11-06,USD,1.0
2025-11-07,EUR,1.0856
2025-11-07,VND,3.924e-05
2025-11-07,USD,1.0
2025-11-08,EUR,1.0857
2025-11-08,VND,3.934e-05
2025-11-08,USD,1.0
2025-11-09,EUR,1.0719
2025-11-09,VND,3.916e-05
2025-11-09,USD,1.0
2025-11-10,EUR,1.0867
2025-11-10,VND,3.92e-05
2025-11-10,USD,1.0
2025-11-11,EUR,1.0772
2025-11-11,VND,3.895e-05
2025-11-11,USD,1.0
2025-11-12,EUR,1.0729
2025-11-12,VND,3.959e-05
2025-11-12,USD,1.0
2025-11-13,EUR,1.0834
2025-11-13,VND,3.963e-05
2025-11-13,USD,1.0
2025-11-14,EUR,1.0793
2025-11-14,VND,3.953e-05
2025-11-14,USD,1.0
2025-11-15,EUR,1.0836
2025-11-15,VND,3.936e-05
2025-11-15,USD,1.0
2025-11-16,EUR,1.0757
2025-11-16,VND,3.909e-05
2025-11-16,USD,1.0
2025-11-17,EUR,1.0856
2025-11-17,VND,3.93e-05
2025-11-17,USD,1.0
2025-11-18,EUR,1.0717
2025-11-18,VND,3.948e-05
2025-11-18,USD,1.0
2025-11-19,EUR,1.0787
2025-11-19,VND,3.943e-05
2025-11-19,USD,1.0
2025-11-20,EUR,1.0693
2025-11-20,VND,3.981e-05
2025-11-20,USD,1.0
2025-11-21,EUR,1.0817
2025-11-21,VND,3.951e-05
2025-11-21,USD,1.0
2025-11-22,EUR,1.0816
2025-11-22,VND,3.956e-05
2025-11-22,USD,1.0
2025-11-23,EUR,1.0755
2025-11-23,VND,3.935e-05
2025-11-23,USD,1.0
2025-11-24,EUR,1.0768
2025-11-24,VND,3.944e-05
2025-11-24,USD,1.0
2025-11-25,EUR,1.0765
2025-11-25,VND,3.966e-05
2025-11-25,USD,1.0
2025-11-26,EUR,1.0843
2025-11-26,VND,3.93e-05
2025-11-26,USD,1.0
2025-11-27,EUR,1.0783
2025-11-27,VND,3.925e-05
2025-11-27,USD,1.0
2025-11-28,EUR,1.0831
2025-11-28,VND,3.94e-05
2025-11-28,USD,1.0
2025-11-29,EUR,1.0843
2025-11-29,VND,3.964e-05
2025-11-29,USD,1.0
2025-11-30,EUR,1.0743
2025-11-30,VND,3.938e-05
2025-11-30,USD,1.0
2025-12-01,EUR,1.0788
2025-12-01,VND,3.967e-05
2025-12-01,USD,1.0
2025-12-02,EUR,1.0748
2025-12-02,VND,3.935e-05
2025-12-02,USD,1.0
2025-12-03,EUR,1.0879
2025-12-03,VND,3.922e-05
2025-12-03,USD,1.0
2025-12-04,EUR,1.0785
2025-12-04,VND,3.918e-05
2025-12-04,USD,1.0
2025-12-05,EUR,1.0816
2025-12-05,VND,3.922e-05
2025-12-05,USD,1.0
2025-12-06,EUR,1.0866
2025-12-06,VND,3.897e-05
2025-12-06,USD,1.0
2025-12-07,EUR,1.076
2025-12-07,VND,3.929e-05
2025-12-07,USD,1.0
2025-12-08,EUR,1.0758
2025-12-08,VND,3.929e-05
2025-12-08,USD,1.0
2025-12-09,EUR,1.0718
2025-12-09,VND,3.991e-05
2025-12-09,USD,1.0
2025-12-10,EUR,1.0784
2025-12-10,VND,3.95e-05
2025-12-10,USD,1.0
2025-12-11,EUR,1.0751
2025-12-11,VND,3.919e-05
2025-12-11,USD,1.0
2025-12-12,EUR,1.0816
2025-12-12,VND,3.935e-05
2025-12-12,USD,1.0
2025-12-13,EUR,1.0746
2025-12-13,VND,3.915e-05
2025-12-13,USD,1.0
2025-12-14,EUR,1.0779
2025-12-14,VND,3.932e-05
2025-12-14,USD,1.0
2025-12-15,EUR,1.0862
2025-12-15,VND,3.909e-05
2025-12-15,USD,1.0
2025-12-16,EUR,1.0725
2025-12-16,VND,3.918e-05
2025-12-16,USD,1.0
2025-12-17,EUR,1.0872
2025-12-17,VND,3.978e-05
2025-12-17,USD,1.0
2025-12-18,EUR,1.0817
2025-12-18,VND,3.958e-05
2025-12-18,USD,1.0
2025-12-19,EUR,1.078
2025-12-19,VND,3.908e-05
2025-12-19,USD,1.0
2025-12-20,EUR,1.0733
2025-12-20,VND,3.929e-05
2025-12-20,USD,1.0
2025-12-21,EUR,1.078
2025-12-21,VND,3.942e-05
2025-12-21,USD,1.0
2025-12-22,EUR,1.0862
2025-12-22,VND,3.961e-05
2025-12-22,USD,1.0
2025-12-23,EUR,1.0873
2025-12-23,VND,3.921e-05
2025-12-23,USD,1.0
2025-12-24,EUR,1.0876
2025-12-24,VND,3.935e-05
2025-12-24,USD,1.0
2025-12-25,EUR,1.0855
2025-12-25,VND,3.947e-05
2025-12-25,USD,1.0
2025-12-26,EUR,1.0853
2025-12-26,VND,3.934e-05
2025-12-26,USD,1.0
2025-12-27,EUR,1.0797
2025-12-27,VND,3.945e-05
2025-12-27,USD,1.0
2025-12-28,EUR,1.0741
2025-12-28,VND,3.954e-05
2025-12-28,USD,1.0
2025-12-29,EUR,1.0785
2025-12-29,VND,3.947e-05
2025-12-29,USD,1.0
2025-12-30,EUR,1.0771
2025-12-30,VND,3.959e-05
2025-12-30,USD,1.0
2025-12-31,EUR,1.0748
2025-12-31,VND,3.909e-05
2025-12-31,USD,1.0
